"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"accA",27625.8806052274,-4.88996165510672,0.0787316403032834,-62.1092312603932,0,0
"accB",23920.3663521394,-5.24823438853975,0.0846129158506767,-62.0263979296227,0,0
"accD",27612.3236141582,-4.89119155888705,0.0711056205671484,-68.7876924478574,0,0
"ackA",9391.91342946753,-2.47603032985833,0.058372924035441,-42.4174456012348,0,0
"acpA_1",27510.0495552995,-5.73518810450816,0.0866927727593468,-66.155319779985,0,0
"adeC",4752.46384079363,2.91201105093958,0.0736963442680692,39.5136431781092,0,0
"adhE",101711.921629039,5.06850318059064,0.0638161286070521,79.4235452889967,0,0
"adk",52137.14911049,-2.96445539778406,0.0523220348099363,-56.6578767158553,0,0
"ahpC",5944.66043991206,-4.93855218332622,0.0849516949953113,-58.1336509365563,0,0
"ahpF",18869.0183795827,-4.62898039444087,0.0681426858623912,-67.9307006446551,0,0
"alaS",27137.1774634909,-2.12021854977504,0.0492908212488526,-43.0144699572113,0,0
"appA",61502.3596019483,2.11258377980438,0.0529685943629596,39.8837047728358,0,0
"arcD1_1",2764.0450174476,4.83435344555001,0.0906886944558192,53.3071236118098,0,0
"argS",119285.083841411,3.08174456913838,0.0532027738617599,57.9245092961856,0,0
"bglF_4",16981.6039325584,3.12720654807783,0.0561675302788145,55.676411844253,0,0
"bioY2",29482.6388289621,5.91909525761854,0.0705259949853454,83.9278518346104,0,0
"brnQ_1",15050.7387197103,2.52514379172506,0.0576588058867121,43.7945904860821,0,0
"bsaA",1939.70047216099,3.68618587324782,0.0841303536769691,43.8151714825956,0,0
"celA_3",3088.14139645051,5.80510626782044,0.118575506805392,48.9570436949332,0,0
"cfa",7986.33473960301,-2.38072535068368,0.0617263550990066,-38.5690252869312,0,0
"cfiB_1",55265.2723175416,-5.24134650339218,0.0597484056603718,-87.723621165485,0,0
"corA_2",7043.01526473382,7.43008028882467,0.117563515554407,63.2005622984802,0,0
"cshA",32503.4314871008,-1.93163316154328,0.0500726252996102,-38.5766304439867,0,0
"dapA",4646.01938040544,2.83285634829706,0.0744999149833464,38.0249608194897,0,0
"dapF",6267.10205746081,3.24036177415613,0.0662335397610677,48.92327642227,0,0
"dauA",5054.55651013878,-3.12079674728416,0.0783099784231004,-39.8518402140635,0,0
"ddc",10063.0628846262,-4.81655995232661,0.0633814183065871,-75.9932497727971,0,0
"der_1",21419.1833110134,-3.01204208694755,0.0549401269133027,-54.824083164217,0,0
"DNPH1",5656.60462813359,-4.25760567848667,0.0689143775881393,-61.7810945624711,0,0
"dppC",11952.280887395,6.64272497355007,0.0854064019706999,77.7778342170294,0,0
"dppE",142482.54794893,7.31001735120818,0.0883062601408408,82.7802846542175,0,0
"dxs",5407.64743738539,-3.04595893156164,0.0662181591232208,-45.9988464175457,0,0
"emrB",1796.79261192233,-4.3264300595861,0.103002996150466,-42.002953518615,0,0
"fabD",33794.8286912533,-5.68795779564647,0.0725544937738627,-78.3956651034553,0,0
"fabF",40078.004307205,-5.30576326793513,0.075415105036319,-70.3541189179533,0,0
"fabG_1",36871.9265682727,-5.51032548381373,0.0687621944478423,-80.1359748341575,0,0
"fabH",40120.1411879908,-4.57584512986097,0.0653582952045519,-70.0116965343105,0,0
"fabI",13683.4250194928,-3.68796447933797,0.0725441426999781,-50.8375223977811,0,0
"fabZ_1",17430.9163358927,-5.34161953546391,0.0959247560621362,-55.6855159684099,0,0
"fabZ_2",8552.94330168686,-3.29923122730417,0.0650652773255138,-50.7064806747616,0,0
"FECAFAII_00019",6756.10583938358,-3.78471690760366,0.0648017474723525,-58.4045501121463,0,0
"FECAFAII_00206",3042.55079246243,-3.42772844405809,0.0729803310130001,-46.9678390941732,0,0
"FECAFAII_00466",1536.26389051344,5.18163591113157,0.114453125326456,45.2729962275118,0,0
"FECAFAII_00769",309379.399927306,1.96933936833296,0.0475252655388361,41.4377351921091,0,0
"FECAFAII_00827",45517.934196766,2.42789433825077,0.0514374538929387,47.2009042925055,0,0
"FECAFAII_00830",31332.7970459809,-4.21340747268402,0.0647882812457471,-65.0334812356302,0,0
"FECAFAII_00831",42388.0785053125,-4.41189888609686,0.0604737252504877,-72.9556326788596,0,0
"FECAFAII_00987",4459.08655492387,-2.68773207140736,0.0694651960078647,-38.691779853368,0,0
"FECAFAII_01003",1409.39009091655,6.00597150465763,0.152404280073481,39.4081550843709,0,0
"FECAFAII_01005",3771.83972143383,5.65476804699037,0.0898883324511558,62.9088102180904,0,0
"FECAFAII_01007",6690.06775135381,5.14790321030109,0.0707090293696172,72.8040429375924,0,0
"FECAFAII_01008",1145.61077225329,4.91370155366433,0.128328784205566,38.2899408272521,0,0
"FECAFAII_01010",2110.92155926062,5.00426843822597,0.110790152684464,45.1688919725419,0,0
"FECAFAII_01016",1886.12829153452,4.48064967364065,0.102715895304844,43.6217749973637,0,0
"FECAFAII_01017",2717.0419044509,4.51182917862491,0.0835918406432044,53.9745164588824,0,0
"FECAFAII_01018",5385.01702255225,4.54408355197209,0.0741459616337145,61.2856513267727,0,0
"FECAFAII_01054",1817.39114736575,4.69512779087662,0.0992638257150896,47.2994845509253,0,0
"FECAFAII_01134",41422.532652577,4.32839204910722,0.0758169459961577,57.0900343219651,0,0
"FECAFAII_01156",3077.56462603681,-2.76553015452028,0.0710455259197855,-38.9261690826629,0,0
"FECAFAII_01158",13307.3545296025,-2.43291457041675,0.0563410741245117,-43.181898964867,0,0
"FECAFAII_01160",17239.8979003792,-2.52975384280692,0.0504289702885601,-50.1646935944039,0,0
"FECAFAII_01161",8349.58554983123,-3.11585445025425,0.0621610611509764,-50.1255028881582,0,0
"FECAFAII_01162",16646.2255134137,-2.39997111770312,0.054213566432155,-44.2688292921392,0,0
"FECAFAII_01321",3256.80328382343,5.1058344644912,0.0847622397278579,60.2371348478316,0,0
"FECAFAII_01343",1266.52479704929,3.99814586654728,0.103836178568886,38.504362560828,0,0
"FECAFAII_01346",2417.83169053551,-2.85185269071785,0.0759345140615982,-37.5567385392686,0,0
"FECAFAII_01451",1979.64651865957,3.4953648720699,0.0819980839836035,42.627396912943,0,0
"FECAFAII_01455",26310.294021455,7.70670716148322,0.0955409178240616,80.6639431251342,0,0
