"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"abfA_1",373.046052359984,0.436585616413337,0.116393267954574,3.75095247419059,0.000176164092041545,0.000254086223024816
"abfA_2",86.5447816580672,-0.104869104174063,0.229009987280236,-0.457923715116127,0.64700724832246,0.678378726276119
"accA",27625.8806052274,-4.88996165510672,0.0787316403032834,-62.1092312603932,0,0
"accB",23920.3663521394,-5.24823438853975,0.0846129158506767,-62.0263979296227,0,0
"accD",27612.3236141582,-4.89119155888705,0.0711056205671484,-68.7876924478574,0,0
"ackA",9391.91342946753,-2.47603032985833,0.058372924035441,-42.4174456012348,0,0
"acpA_1",27510.0495552995,-5.73518810450816,0.0866927727593468,-66.155319779985,0,0
"acpS",962.474264683016,0.321435094773153,0.0843940994792614,3.80873896109456,0.00013967731957118,0.000202475791878384
"acyP",2785.63348917268,3.00162071909634,0.0938493386901525,31.9833976561766,1.85561191990828e-224,1.92662089590477e-223
"adaA",102.826974849726,0.363268625428273,0.202232644451208,1.79629073443638,0.0724482906875117,0.0881765907817535
"addA",19701.9466770829,0.473226451973094,0.0523388761215944,9.0415860454032,1.54414847168377e-19,3.29204670464235e-19
"adeC",4752.46384079363,2.91201105093958,0.0736963442680692,39.5136431781092,0,0
"adhE",101711.921629039,5.06850318059064,0.0638161286070521,79.4235452889967,0,0
"adhR",293.960707559032,0.27123539348783,0.130876712454313,2.07244962378249,0.0382235296206908,0.0478376288899507
"adk",52137.14911049,-2.96445539778406,0.0523220348099363,-56.6578767158553,0,0
"aes_1",78.4654607595119,0.339997844891619,0.233802273773188,1.45421102799647,0.145887808458592,0.172380171375066
"afr_1",2642.46713435143,0.0902222713714688,0.0646107419286821,1.39639738963309,0.16259486074085,0.191022393582795
"afr_2",4578.01143159015,-0.0814723736212261,0.060345139065466,-1.3501066512224,0.1769817751817,0.206826324836476
"agaC",116.185711724598,-0.346631266405681,0.235358856883225,-1.47277765959607,0.140810998164307,0.166861322917408
"agaSK_1",310.057613050762,0.408261414695735,0.134435566672901,3.03685568335565,0.00239059881191175,0.00326155701283596
"agaSK_3",833.431871207548,0.181778743896051,0.0926994746292331,1.96094686213816,0.049885221908849,0.0617606105078992
"agrB",6333.45971457712,-0.320005879863818,0.197981272696046,-1.61634419006444,0.106019917613936,0.127365615312314
"ahpC",5944.66043991206,-4.93855218332622,0.0849516949953113,-58.1336509365563,0,0
"ahpF",18869.0183795827,-4.62898039444087,0.0681426858623912,-67.9307006446551,0,0
"alaA",7593.49060857009,-0.217807987766116,0.0566786822825939,-3.84285553217607,0.000121611060085506,0.000176911183007545
"alaS",27137.1774634909,-2.12021854977504,0.0492908212488526,-43.0144699572113,0,0
"albF",4710.47753459238,-0.240669933201642,0.0589632787134673,-4.08169183350845,4.47090530734509e-05,6.6554470310168e-05
"alsS",3587.202181767,-2.65850653456682,0.0762215459678474,-34.8786750624064,1.56542974459018e-266,1.89965229765458e-265
"ampH",1135.44382241503,0.256880633602379,0.0781410573632418,3.28739643755087,0.00101118373726664,0.00140491035187385
"apbE",2582.35175705559,-0.286305197397249,0.0663689604856572,-4.31384182157142,1.60441759947012e-05,2.43114068286411e-05
"apc1",158.122240051063,-0.441398265151404,0.16640797982824,-2.65250660218939,0.00798965653747978,0.0105308213573748
"appA",61502.3596019483,2.11258377980438,0.0529685943629596,39.8837047728358,0,0
"apt",8228.64942477207,-2.32099047370374,0.0659525840187876,-35.1918049646481,2.66867326108157e-271,3.30823461158215e-270
"araA",77.7047364341548,0.0524069269321882,0.242859127497869,0.215791465085652,0.829150301465703,0.848021432082276
"araC_1",509.056472026201,0.0117916576431959,0.102007323010909,0.115596187559347,0.907972584538183,0.921103757718453
"araC_4",195.41798878287,-0.1883415073402,0.150410112746393,-1.25218646473435,0.210501926878861,0.243231635879311
"araQ_2",33.99417552349,0.235770559335654,0.386959902940709,0.609289379969117,0.542332645140465,0.580911987867403
