"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"abfA_1",373.046052359984,0.436585616413337,0.116393267954574,3.75095247419059,0.000176164092041545,0.000254086223024816
"accA",27625.8806052274,-4.88996165510672,0.0787316403032834,-62.1092312603932,0,0
"accB",23920.3663521394,-5.24823438853975,0.0846129158506767,-62.0263979296227,0,0
"accD",27612.3236141582,-4.89119155888705,0.0711056205671484,-68.7876924478574,0,0
"ackA",9391.91342946753,-2.47603032985833,0.058372924035441,-42.4174456012348,0,0
"acpA_1",27510.0495552995,-5.73518810450816,0.0866927727593468,-66.155319779985,0,0
"acpS",962.474264683016,0.321435094773153,0.0843940994792614,3.80873896109456,0.00013967731957118,0.000202475791878384
"acyP",2785.63348917268,3.00162071909634,0.0938493386901525,31.9833976561766,1.85561191990828e-224,1.92662089590477e-223
"addA",19701.9466770829,0.473226451973094,0.0523388761215944,9.0415860454032,1.54414847168377e-19,3.29204670464235e-19
"adeC",4752.46384079363,2.91201105093958,0.0736963442680692,39.5136431781092,0,0
"adhE",101711.921629039,5.06850318059064,0.0638161286070521,79.4235452889967,0,0
"adk",52137.14911049,-2.96445539778406,0.0523220348099363,-56.6578767158553,0,0
"ahpC",5944.66043991206,-4.93855218332622,0.0849516949953113,-58.1336509365563,0,0
"ahpF",18869.0183795827,-4.62898039444087,0.0681426858623912,-67.9307006446551,0,0
"alaA",7593.49060857009,-0.217807987766116,0.0566786822825939,-3.84285553217607,0.000121611060085506,0.000176911183007545
"alaS",27137.1774634909,-2.12021854977504,0.0492908212488526,-43.0144699572113,0,0
"albF",4710.47753459238,-0.240669933201642,0.0589632787134673,-4.08169183350845,4.47090530734509e-05,6.6554470310168e-05
"alsS",3587.202181767,-2.65850653456682,0.0762215459678474,-34.8786750624064,1.56542974459018e-266,1.89965229765458e-265
"apbE",2582.35175705559,-0.286305197397249,0.0663689604856572,-4.31384182157142,1.60441759947012e-05,2.43114068286411e-05
"appA",61502.3596019483,2.11258377980438,0.0529685943629596,39.8837047728358,0,0
"apt",8228.64942477207,-2.32099047370374,0.0659525840187876,-35.1918049646481,2.66867326108157e-271,3.30823461158215e-270
"arcC1",1191.81942357765,-2.27260099261319,0.0991967949772004,-22.9100243927793,3.69137784746295e-116,2.11482125284929e-115
"arcD1_1",2764.0450174476,4.83435344555001,0.0906886944558192,53.3071236118098,0,0
"argS",119285.083841411,3.08174456913838,0.0532027738617599,57.9245092961856,0,0
"artM_2",10148.0207722927,0.442958567256738,0.0613766787495319,7.21705012850856,5.31273969935159e-13,9.96701850967721e-13
"asd",5257.59476918776,2.42214106870203,0.072901776138012,33.224719574961,4.73322940354649e-242,5.29679679556409e-241
"atpC",14394.0221758632,0.237210970705331,0.0697222102059484,3.40222964826627,0.000668384480302408,0.000940907374131045
"atpE_1",3496.71207957868,-0.229853059653863,0.0589757278817691,-3.89741793631879,9.72237517657476e-05,0.000142442949606872
"atpF",9020.51822789663,-0.393123450562624,0.059622737692616,-6.59351559113849,4.29531623785642e-11,7.7111919476124e-11
"atpG",22151.119429891,-0.419228459477563,0.0670039380085994,-6.25677343656664,3.93023725282544e-10,6.87970927518319e-10
"axe2",959.137273707995,0.38476483948116,0.0822266792644765,4.67931871897186,2.87829718461798e-06,4.49645991469925e-06
"bbmA",92.6382111245783,2.31685091201029,0.248598133415738,9.31966334652943,1.16710022593611e-20,2.53518145754702e-20
"bceA_1",3215.33560136429,-2.30643728735019,0.0850948162421135,-27.104321851849,8.7566410823169e-162,6.57548296416277e-161
"bcr",416.220702749295,-3.35534301818155,0.166306802492528,-20.1756210082405,1.60337170875306e-90,7.59686496601943e-90
"bepA",10885.5737988258,0.218144060444556,0.0641386731717885,3.40113148053876,0.000671075424716076,0.000944233327535927
"bglC",3647.88715930779,0.406475395912652,0.0714269254333453,5.69078668088507,1.26455407708142e-08,2.11938084247446e-08
"bglF_2",201.873513138206,3.10016448355048,0.219015376177848,14.1550083727137,1.73917034842249e-45,5.37256060371974e-45
"bglF_4",16981.6039325584,3.12720654807783,0.0561675302788145,55.676411844253,0,0
"bglH_3",4968.2122918189,0.451430561943697,0.0565626692239837,7.98106893004055,1.4507141920217e-15,2.86162826903594e-15
"bioY2",29482.6388289621,5.91909525761854,0.0705259949853454,83.9278518346104,0,0
"birA",4217.26475490168,0.403231915646735,0.0617717491767241,6.52777233963572,6.67550571482834e-11,1.19025135994088e-10
"brnQ_1",15050.7387197103,2.52514379172506,0.0576588058867121,43.7945904860821,0,0
"bsaA",1939.70047216099,3.68618587324782,0.0841303536769691,43.8151714825956,0,0
