"gene_id"	"X01_BH_counts.tab"	"X01_Serum_counts.tab"	"X02_BH_counts.tab"	"X02_Serum_counts.tab"	"X03_BH_counts.tab"	"X03_Serum_counts.tab"
"abfA_1"	362	383	358	434	286	411
"abfA_2"	108	89	94	73	82	75
"abgB_1"	0	0	0	0	0	0
"abgB_2"	0	0	0	0	0	0
"accA"	60016	1698	57586	1989	51746	1477
"accB"	55668	1178	49251	1285	42926	1044
"accD"	58471	1633	58329	2012	52433	1518
"ackA"	17678	2584	17306	3002	15463	2608
"acpA_1"	52706	934	59899	1139	58083	834
"acpA_2"	918	1459	932	1599	805	1497
"acpP"	19090	6360	17237	7175	18981	6281
"acpS"	921	902	951	1070	839	1090
"act"	4609	1317	3939	1585	3322	1540
"acuI"	1579	2037	1698	2471	1528	2181
"acuR"	2457	821	2270	939	2305	806
"acyP"	790	4480	617	5101	554	4592
"adaA"	106	93	92	121	87	118
"addA"	17727	20830	18260	22898	16276	21748
"addB"	15114	17914	16028	20743	13814	19365
"adeC"	1064	7360	1274	8672	1188	7995
"adh"	22	8	37	12	8	9
"adhE"	6441	167807	6543	194854	5674	202690
"adhR"	322	281	281	332	242	308
"adk"	101124	10259	101301	12014	90406	11632
"aes_1"	87	75	75	86	58	90
"aes_2"	2899	921	2594	1103	2664	1020
"afr_1"	2815	2497	2731	2761	2557	2534
"afr_2"	4818	3906	5202	4629	4873	4207
"agaC"	164	63	110	112	137	120
"agaS"	2634	3363	2810	3991	2515	3634
"agaSK_1"	274	298	328	340	244	374
"agaSK_2"	318	196	383	200	280	199
"agaSK_3"	868	730	866	1003	743	814
"agrA_1"	2154	507	1476	481	1630	526
"agrA_2"	20	8	29	8	38	10
"agrB"	9151	4966	5925	5367	7138	5762
"ahpC"	11660	285	13371	406	11452	387
"ahpF"	37159	1332	42815	1555	35052	1311
"alaA"	8924	6225	8768	6997	8158	6860
"alaS"	47446	8834	48307	10638	43972	9610
"albF"	5540	3705	5540	4654	5078	4029
"aldC"	4249	965	4554	1103	3931	964
"algC"	2918	6488	3192	7165	2532	7154
"alr"	5432	6601	5811	7508	5201	7055
"alsS"	7067	807	6828	1081	5754	929
"ampH"	1149	1097	1122	1322	1007	1124
"amt"	89	16	68	16	108	32
"anr"	340	838	407	1036	357	993
"ansA"	2840	1096	2680	1242	2410	1307
"apbE"	3100	2061	3153	2290	2740	2303
"apc1"	197	111	190	133	189	140
"appA"	25229	85168	24813	103358	23091	97772
"apt"	15844	2388	14199	2856	13382	2618
"araA"	96	64	89	80	58	83
"araB"	82	33	63	48	78	44
"araC_1"	548	483	567	505	491	472
"araC_2"	417	190	439	213	368	186
"araC_3"	41	71	34	66	33	68
"araC_4"	221	151	235	207	204	167
"araD"	35	74	32	74	45	63
"araN_1"	446	1283	400	1331	382	1337
"araN_2"	22	22	8	19	16	28
"araQ_1"	85	209	109	214	87	188
"araQ_2"	34	18	34	35	31	53
"araQ_3"	37	84	66	66	60	78
"araQ_4"	50	36	46	27	42	38
"araQ_5"	20	0	28	7	23	9
"araQ_6"	22	28	32	14	21	26
"araQ_7"	26	23	34	42	33	19
"araR_1"	1159	905	1131	1033	1090	976
"araR_2"	1806	1365	1798	1686	1647	1577
"arcA"	13757	6883	15377	7652	12983	8335
"arcB"	8732	2096	7924	2286	6774	2358
"arcC1"	2385	371	1962	410	1906	388
"arcD1_1"	201	4484	208	5418	184	5400
"arcD1_2"	9562	7094	9168	7834	7901	7256
"argR_1"	2193	4929	2250	5721	1871	5582
"argR_2"	2942	2496	3191	2683	2917	2592
"argR_3"	3721	3559	3503	4082	3262	3189
"argS"	27207	187231	28793	219288	23928	204421
"arlR_1"	1299	835	1125	956	1000	897
"arlR_2"	10468	8587	9209	10025	8611	9344
