"gene_id"	"output_Tn.seq_BHI_01.count"	"output_Tn.seq_BHI_02.count"	"output_Tn.seq_BHI_03.count"	"output_Tn.seq_HSerum_01.count"	"output_Tn.seq_HSerum_02.count"	"output_Tn.seq_HSerum_03.count"	"output_Tn.seq_Serum_01.count"	"output_Tn.seq_Serum_02.count"	"output_Tn.seq_Serum_03.count"
"abfA_1"	1	0	128	142	1	0	1	0	0
"abfA_2"	0	388	247	178	457	1096	418	462	174
"abgB_1"	0	0	0	0	0	0	0	0	0
"abgB_2"	0	0	0	0	0	0	0	0	0
"accA"	0	0	0	0	0	0	0	0	0
"accB"	0	0	0	0	0	0	0	0	0
"accD"	0	0	0	0	0	0	0	0	0
"ackA"	1	126	13	6	0	6	12	6	0
"acpA_1"	0	0	0	0	0	0	0	0	0
"acpA_2"	0	3	1	0	3	2	0	0	0
"acpP"	0	0	0	0	0	0	0	0	0
"acpS"	0	0	0	0	0	0	0	0	0
"act"	0	0	0	0	0	0	0	0	0
"acuI"	6041	2908	2644	7076	5847	2847	7514	3636	3095
"acuR"	2978	1176	2695	3572	1953	2407	1976	3322	1301
"acyP"	0	0	0	0	0	0	0	0	0
"adaA"	1641	1314	782	1089	1065	1566	680	1048	539
"addA"	0	0	0	0	0	37	0	0	0
"addB"	0	22	0	0	0	0	0	0	27
"adeC"	326	355	132	380	899	342	532	443	296
"adh"	208	712	670	1337	2091	828	1616	584	37
"adhE"	6478	4578	3566	7907	4083	5629	6412	6976	2793
"adhR"	0	0	0	0	0	0	0	0	0
"adk"	0	0	0	0	0	0	0	0	0
"aes_1"	698	408	383	529	356	1335	1239	1235	183
"aes_2"	182	102	125	225	0	77	0	162	0
"afr_1"	184	106	207	527	2005	785	781	280	754
"afr_2"	2147	2596	2765	3015	1874	2231	1179	2350	1584
"agaC"	0	462	247	0	1	0	0	283	403
"agaS"	3333	3372	2573	4532	4774	4458	6409	6452	4502
"agaSK_1"	2291	1490	1957	2483	2846	2125	3344	2639	2786
"agaSK_2"	3011	2039	2462	2744	2087	1433	1506	3264	2195
"agaSK_3"	1037	941	738	908	1173	1111	1207	633	454
"agrA_1"	1985	2657	2377	2379	1157	2675	2465	3308	1762
"agrA_2"	593	160	518	567	313	663	610	408	431
"agrB"	0	59	0	11	0	27	0	0	0
"ahpC"	0	0	40	0	0	53	0	0	10
"ahpF"	2676	2919	2621	1793	2157	2332	1347	2949	415
"alaA"	217	240	919	323	724	554	112	631	626
"alaS"	0	0	0	0	0	0	0	0	0
"albF"	5084	5194	5678	5308	2904	4001	3561	2823	811
