Plasmid name;Size (bp);Sequence coverage*;Accession numbers
Chromosome;2 765 010;85,74;CP014529
pE745-1;223 688;99,69;CP014530
pE745-2;32 423;340,23;CP014531
pE745-3;9 310;396,93;CP014532
pE745-4;17 254;81,08;CP014533
pE745-5;55 167;166,16;CP014534
pE745-6;65 558;176,04;CP014535
