Synonym;Chromosome/Plasmid;Name;Product;fold change BHI/HSerum Tn-seqa;q BHI/HSerum_Tn-seqb;;;;;
EfmE745_00013;Chromosome;purA;Adenylosuccinate synthetase;>100;3,04E-05;;;;;
EfmE745_01785;Chromosome;pyrF;Orotidine 5'-phosphate decarboxylase;>100;2,27E-03;;;;;
EfmE745_01958;Chromosome;-;hypothetical protein;>100;9,63E-03;;;;;
EfmE745_00690;Chromosome;manY_2;Mannose permease IIC component;77,76;1,71E-10;;;;;
EfmE745_01942;Chromosome;purC;Phosphoribosylaminoimidazole-succinocarboxamide synthase;54,05;0,01;;;;;
EfmE745_00691;Chromosome;manZ_3;Mannose permease IID component;37,70;9,16E-11;;;;;
EfmE745_00687;Chromosome;algB;Alginate biosynthesis transcriptional regulatory protein AlgB;32,74;1,33E-06;;;;;
EfmE745_02204;Chromosome;ptsI;Phosphoenolpyruvate-protein phosphotransferase;21,48;1,35E-03;;;;;
EfmE745_01788;Chromosome;pyrK_2;Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit;15,00;1,92E-03;;;;;
EfmE745_02782;Chromosome;guaB;Inosine-5'-monophosphate dehydrogenase;14,56;8,04E-05;;;;;
EfmE745_01934;Chromosome;purD;Phosphoribosylamine--glycine ligase;12,86;3,92E-03;;;;;
EfmE745_01940;Chromosome;purQ;Phosphoribosylformylglycinamidine synthase 1;10,03;0,01;;;;;
EfmE745_01082;Chromosome;rpoN1;RNA polymerase sigma-54 factor 1;8,40;0,02;;;;;
EfmE745_00161;Chromosome;artM_1;Arginine transport ATP-binding protein ArtM;7,42;0,02;;;;;
EfmE745_01939;Chromosome;purL;Phosphoribosylformylglycinamidine synthase 2;7,19;0,04;;;;;
EfmE745_01935;Chromosome;purH;Bifunctional purine biosynthesis protein PurH;6,17;4,52E-03;;;;;
EfmE745_01741;Chromosome;hmpT;Thiamine precursor transporter HmpT;4,23;0,04;;;;;
EfmE745_02715;Chromosome;rpsN2_2;Alternate 30S ribosomal protein S14;3,92;0,01;;;;;
EfmE745_01776;Chromosome;lsrC_1;Autoinducer 2 import system permease protein LsrC;3,66;0,02;;;;;
EfmE745_03220;Plasmid 6;-;hypothetical protein;3,53;8,19E-03;;;;;
EfmE745_03139;Plasmid 5;-;hypothetical protein;3,49;1,67E-03;;;;;
EfmE745_00139;Chromosome;bioY2;Biotin transporter BioY2;2,91;0,04;;;;;
EfmE745_03147;Plasmid 5;-;TraM recognition site of TraD and TraG;2,55;0,02;;;;;
EfmE745_03131;Plasmid 5;-;Sortase family protein;2,23;0,04;;;;;
EfmE745_03137;Plasmid 5;hypBA2;Beta-L-arabinobiosidase precursor;2,16;0,00;;;;;
EfmE745_03101;Plasmid 5;-;hypothetical protein;2,10;0,02;;;;;
EfmE745_03141;Plasmid 5;-;hypothetical protein;2,10;0,01;;;;;
EfmE745_01243;Chromosome;lytA_2;Autolysin;-2,02;3,93E-04;;;;;
EfmE745_03219;Plasmid 6;-;hypothetical protein;-2,61;0,04;;;;;
EfmE745_02302;Chromosome;-;hypothetical protein;-2,91;0,03;;;;;
EfmE745_01129;Chromosome;clsA_1;Major cardiolipin synthase ClsA;-6,55;4,82E-04;;;;;
EfmE745_00881;Chromosome;-;Acetyltransferase (GNAT) family protein;-6,79;0,04;;;;;
EfmE745_02575;Chromosome;ldtfm;beta-lactam-insensitive peptidoglycan transpeptidase;-7,48;7,05E-09;;;;;
EfmE745_01213;Chromosome;ddcP;D-alanyl-D-alanine carboxypeptidase DacA precursor;-9,10;2,10E-08;;;;;
EfmE745_01959;Chromosome;afr_2;1,5-anhydro-D-fructose reductase;-10,73;1,35E-03;;;;;
EfmE745_02202;Chromosome;mgs;Alpha-monoglucosyldiacylglycerol synthase;-16,37;1,51E-04;;;;;
